alpha,delta,id,diameter
269.29166666666663,-29.071944444444444,LDN40,10.0
292.2458333333333,-37.57472222222223,HMSTG1.2-23.1 / CoA11,5.0
269.01666666666665,-28.923333333333336,FeSt2-313,6.0
258.0208333333333,-22.547222222222224,LDN39,7.0
248.47916666666666,-15.862499999999999,LM189 / LDN43F,22.0
257.95416666666665,-22.476666666666667,B60 / LDN38 / CB74,9.0
263.2708333333333,-25.70111111111111,LDN42 / FeSt1-454,72.0
260.00833333333327,-23.716666666666665,LDN44,11.0
262.7708333333333,-25.37,LDN45,35.0
262.39166666666665,-25.155277777777776,FeSt1-455,77.0
248.58333333333331,-15.818333333333333,P6 / LM190 / LDN43D,21.0
263.1791666666667,-25.6,Pipe Bowl / B78,180.0
258.24999999999994,-22.558333333333334,LDN46,35.0
261.0458333333333,-24.3,B73,2.0
289.13749999999993,-36.61611111111111,FeSt2-314 / LM293,5.0
289.09999999999997,-36.605555555555554,HMSTG1.3-20.5 / CoA10,14.0
269.5416666666666,-29.003888888888888,LDN48,149.0
270.5458333333333,-29.499166666666667,LDN49,61.0
283.5958333333333,-34.876666666666665,IREC2,92.0
261.2625,-24.377222222222223,B76 / LDN50,8.0
252.47916666666666,-18.585277777777776,LDN47,32.0
248.66249999999997,-15.783888888888889,MLB57 / LM192 / LDN43E,21.0
248.63749999999996,-15.769444444444446,LDN43 / BDN1.38+20.96,45.0
290.4291666666667,-36.918055555555554,HMSTG1.4-21.6,40.0
248.62499999999997,-15.760555555555555,MLB55 / LDN43B,5.0
263.05833333333334,-25.424722222222222,LDN52 / CB89 / P7,5.0
260.7833333333333,-24.0125,B71 / LDN53,2.0
258.15,-22.342222222222222,LDN51,11.0
260.8708333333333,-24.041944444444447,B70 / LDN54 / P8,3.0
260.7416666666667,-23.955,B69 / LDN55 / P9,3.0
261.2625,-24.210833333333333,B74 / CB87,9.0
260.66249999999997,-23.834444444444443,B68 / LDN57 / CB82 / P10 / LM235,5.0
293.3583333333333,-37.514722222222225,HMSTG1.5-24.0 / CoA13,4.0
260.1583333333333,-23.45,B255 / LDN59,5.0
258.74999999999994,-22.555833333333332,B253 / LDN56 / FeSt1-456,50.0
301.81666666666666,-39.12388888888889,DIR002-31,75.0
262.6166666666667,-24.920833333333334,LDN58,4.0
261.13749999999993,-24.011388888888888,FeSt2-316,6.0
263.7708333333333,-25.56527777777778,FeSt1-457,69.0
271.1958333333333,-29.512777777777778,FeSt2-315,6.0
273.4041666666666,-30.501944444444444,FeSt1-458,24.0
257.99999999999994,-21.97611111111111,LDN60,11.0
293.2291666666667,-37.31194444444444,HMSTG1.7-23.8 / CoA12,3.0
263.9458333333333,-25.553055555555556,2MASS-DN1.7+3.6,4.0
262.8416666666666,-24.919722222222223,LDN61,5.5
260.88749999999993,-23.675,LDN66 / CB84 / P13 / LM236,6.0
252.47499999999997,-18.085277777777776,LDN62,79.0
260.99583333333334,-23.7025,CB85 / LM237,6.0
260.75833333333327,-23.56416666666667,CB83,10.0
252.52083333333331,-18.083055555555557,P11 / LM217 / LDN63-2,6.0
265.025,-26.02583333333333,LDN64,60.0
252.56249999999994,-18.099722222222223,LM218 / LDN63-1,6.0
252.5333333333333,-18.06861111111111,LDN63,12.0
260.9083333333333,-23.591666666666665,B72 / The Snake,27.0
252.52083333333331,-17.982777777777777,LM216 / LDN63-3,5.0
252.42916666666665,-17.915555555555553,LM215 / LDN63-4,3.0
259.52916666666664,-22.66888888888889,FeSt1-459,54.0
258.47083333333325,-21.928333333333335,P12,6.0
258.47083333333325,-21.928333333333335,LDN65 / LDN67,18.0
268.6791666666666,-27.83222222222222,CB102,9.0
271.7708333333333,-29.359722222222224,LDN68,5.0
261.2125,-23.599166666666665,CB86,10.0
262.01249999999993,-24.040277777777778,B77 / LDN69,85.0
270.3541666666666,-28.608333333333334,B294,3.0
261.25833333333327,-23.54388888888889,LDN70,6.0
259.275,-22.28666666666667,FeSt2-317,6.0
258.4958333333333,-21.723888888888887,LDN71,23.0
264.4791666666667,-25.27027777777778,LDN74 / P14,9.0
259.99999999999994,-22.55,LDN72,33.0
262.76249999999993,-24.203333333333333,LDN73,32.0
272.04166666666663,-29.15861111111111,LDN75,16.0
264.26666666666665,-25.029444444444444,LDN76,44.0
237.53749999999997,-5.850833333333333,MBM34,20.0
259.74999999999994,-22.25111111111111,LDN77,4.0
270.3333333333333,-28.22083333333333,LDN78,3.0
258.74583333333334,-21.472499999999997,B63 / LDN79,45.0
264.7666666666666,-25.110555555555557,LDN80,4.0
261.25416666666666,-23.010555555555555,B261 / LDN81,8.0
266.5249999999999,-26.01861111111111,LDN82,90.0
271.2666666666666,-28.43166666666667,CB109 / SCHO741,3.5
264.01666666666665,-24.530833333333334,LDN84,34.0
248.57916666666662,-14.269722222222223,LDN83,14.0
261.50416666666666,-23.009444444444444,LDN85,11.0
260.25,-22.215555555555554,LDN86,15.0
